Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
1-65IJG0,Self Harm - Threatened,Major,24/02/11 15:10,,Melbourne ITA,Other
1-65JMJI,Damage - Serious,Critical,24/02/11 15:20,,Melbourne ITA,Service Provider Staff
1-66392G,Self Harm - Threatened,Major,24/02/11 15:30,,Villawood IDC,Other
1-65NODI,Escape,Critical,24/02/11 16:10,,North West Point Immigration Facility,Service Provider Staff
1-65MWS6,Transfer btwn facilities,Minor,24/02/11 17:00,,Northern IDC,Service Provider Staff
1-65LUMU,Media - Incident  of interest,Major,24/02/11 17:33,,Villawood IDC,Service Provider Staff
1-65L02K,Voluntary starvation (<24 hrs),Minor,24/02/11 17:40,,Villawood IDC,Service Provider Staff
1-65NVU8,Failure - Security System,Major,24/02/11 17:50,,Lilac Aqua,Service Provider Staff
1-65O15A,Failure - Power,Minor,24/02/11 17:55,,Gwalia Lodge,Service Provider Staff
1-65MYF2,Damage - Minor,Minor,24/02/11 18:15,,Melbourne ITA,Service Provider Staff
1-66BWP4,Voluntary starvation (<24 hrs),Minor,24/02/11 20:00,,Curtin IDC,Service Provider Staff
1-66BWO1,Voluntary starvation (<24 hrs),Minor,24/02/11 20:00,,Curtin IDC,Service Provider Staff
1-6668Y4,Voluntary starvation (<24 hrs),Minor,24/02/11 20:00,,Curtin IDC,Service Provider Staff
1-6668XA,Voluntary starvation (<24 hrs),Minor,24/02/11 20:00,,Curtin IDC,Service Provider Staff
1-6668W0,Voluntary starvation (<24 hrs),Minor,24/02/11 20:00,,Curtin IDC,Service Provider Staff
1-65NVP4,Transfer to APOD,Minor,24/02/11 20:20,,Villawood IDC,Service Provider Staff
1-65O1A6,Voluntary starvation (>24 hrs),Major,24/02/11 20:52,,Curtin IDC,Service Provider Staff
1-65O1AE,Voluntary starvation (>24 hrs),Major,24/02/11 21:20,,Curtin IDC,Service Provider Staff
1-65NVZS,Voluntary starvation (>24 hrs),Major,24/02/11 22:30,,Curtin IDC,Service Provider Staff
1-65NW1Y,Voluntary starvation (>24 hrs),Major,24/02/11 22:45,,Curtin IDC,Service Provider Staff
1-65UWWS,Damage - Minor,Minor,25/02/11 1:00,,Curtin IDC,Service Provider Staff
1-65XA3W,Self Harm - Threatened,Major,25/02/11 7:40,,North West Point Immigration Facility,Service Provider Staff
1-65UX78,Failure - Security System,Major,25/02/11 8:33,,Villawood IDC,Service Provider Staff
1-66D03F,Voluntary starvation (<24 hrs),Minor,25/02/11 9:00,,Curtin IDC,Service Provider Staff
1-66BWRZ,Voluntary starvation (<24 hrs),Minor,25/02/11 9:00,,Curtin IDC,Service Provider Staff
1-65YA3Q,Accident/Injury - Serious,Critical,25/02/11 9:10,,North West Point Immigration Facility,Service Provider Staff
1-65YAAP,Escape - Attempted,Major,25/02/11 10:00,,North West Point Immigration Facility,Service Provider Staff
1-6668SJ,Voluntary starvation (>24 hrs),Major,25/02/11 10:45,,Curtin IDC,Service Provider Staff
1-6668SB,Voluntary starvation (>24 hrs),Major,25/02/11 10:45,,Curtin IDC,Service Provider Staff
1-65YAJL,Complaint Unresolved in time,Minor,25/02/11 10:47,,Lilac Aqua,Service Provider Staff
1-6639O9,Disturbance - Minor,Minor,25/02/11 11:45,,Curtin IDC,Service Provider Staff
1-6645IA,Assault - Minor,Major,25/02/11 11:50,,Construction Camp APOD,Service Provider Staff
1-66699I,Self Harm - Threatened,Major,25/02/11 12:00,,North West Point Immigration Facility,Service Provider Staff
1-66461G,Contraband found,Minor,25/02/11 13:10,,Lilac Aqua,Service Provider Staff
1-6639O4,Accident/Injury - Serious,Critical,25/02/11 13:15,,Curtin IDC,Service Provider Staff
1-66460K,Disturbance - Minor,Minor,25/02/11 14:15,,Curtin IDC,Service Provider Staff
1-665DCA,Self Harm - Actual,Critical,25/02/11 14:30,,Curtin IDC,Service Provider Staff
1-66642U,Contraband found,Minor,25/02/11 15:10,,Lilac Aqua,Service Provider Staff
1-673BUQ,Complaint - re Minor Incident,Minor,25/02/11 16:30,,Northern IDC,DIAC Staff
1-665BWE,Voluntary starvation (>24 hrs),Major,25/02/11 17:40,,Villawood IDC,Service Provider Staff
1-6668IU,Failure - Security System,Major,25/02/11 17:45,,Villawood IDC,Service Provider Staff
1-673C8S,Complaint Unresolved in time,Minor,25/02/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-673C7P,Complaint Unresolved in time,Minor,25/02/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-66D03L,Voluntary starvation (<24 hrs),Minor,25/02/11 18:00,,Curtin IDC,Service Provider Staff
1-66BWS6,Disturbance - Minor,Minor,25/02/11 18:15,,Northern IDC,Service Provider Staff
1-66BWTA,Riot,Critical,25/02/11 18:35,,Construction Camp APOD,Service Provider Staff
1-66BWQW,Voluntary starvation (<24 hrs),Minor,25/02/11 20:00,,Curtin IDC,Service Provider Staff
1-666JUK,Accident/Injury - Serious,Critical,25/02/11 20:00,,Curtin IDC,Service Provider Staff
1-666JUS,Accident/Injury - Serious,Critical,25/02/11 20:30,,Curtin IDC,Service Provider Staff
1-66D047,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66D041,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66D02X,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66BWRT,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66BWQM,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66BWQG,Voluntary starvation (<24 hrs),Minor,25/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66E1PT,Transfer to APOD,Minor,25/02/11 22:15,,Inverbrackie APOD,Service Provider Staff
1-6668IJ,Damage - Minor,Minor,25/02/11 22:20,,Villawood IDC,Service Provider Staff
1-6668SP,Voluntary starvation (>24 hrs),Major,25/02/11 22:45,,Curtin IDC,Service Provider Staff
1-666K2K,Voluntary starvation (>24 hrs),Major,25/02/11 22:45,,Curtin IDC,Service Provider Staff
1-666K2B,Voluntary starvation (>24 hrs),Major,25/02/11 22:45,,Curtin IDC,Service Provider Staff
1-66DNC9,Disturbance - Minor,Minor,26/02/11 7:35,,Scherger IDC,Service Provider Staff
1-66FC95,Escape,Critical,26/02/11 7:45,,Lilac Aqua,Service Provider Staff
1-66FC7S,Voluntary starvation (<24 hrs),Minor,26/02/11 8:15,,North West Point Immigration Facility,Service Provider Staff
1-67YO6B,Complaint Unresolved in time,Minor,26/02/11 9:25,,Lilac Aqua,Client
1-66FCVY,Contraband found,Minor,26/02/11 9:45,,Lilac Aqua,Service Provider Staff
1-66YIHY,Use of Observation Rm > 24 hrs,Major,26/02/11 10:55,,Villawood IDC,Service Provider Staff
1-66GZY0,Assault - Minor,Major,26/02/11 11:15,,Lilac Aqua,Service Provider Staff
1-66E3QO,Transfer to APOD,Minor,26/02/11 12:40,,Northern IDC,Service Provider Staff
1-6883UN,Contraband found,Minor,26/02/11 15:00,,Northern IDC,DIAC Staff
1-66H93L,Self Harm - Actual,Critical,26/02/11 15:25,,Curtin IDC,Service Provider Staff
1-66H3XE,Complaint Unresolved in time,Minor,26/02/11 15:30,,Northern IDC,Service Provider Staff
1-66H3H0,Self Harm - Actual,Critical,26/02/11 15:45,,Melbourne ITA,Service Provider Staff
1-66H3Y1,Complaint Unresolved in time,Minor,26/02/11 16:00,,Northern IDC,Service Provider Staff
1-66QI80,Disturbance - Minor,Minor,26/02/11 16:30,,Northern IDC,Service Provider Staff
1-66H43X,Accident/Injury - Serious,Critical,26/02/11 17:05,,Melbourne ITA,Service Provider Staff
1-66QKHO,Disturbance - Minor,Minor,26/02/11 18:50,,Melbourne ITA,Service Provider Staff
1-66QIP0,Abusive/Aggressive Behaviour,Minor,26/02/11 19:00,,Northern IDC,Service Provider Staff
1-66ISNS,Accident/Injury - Serious,Critical,26/02/11 19:00,,Northern IDC,Service Provider Staff
1-66R2ZS,Disturbance - Minor,Minor,26/02/11 20:25,,Northern IDC,Service Provider Staff
1-66HNUB,Accident/Injury - Serious,Critical,26/02/11 20:25,,Melbourne ITA,Service Provider Staff
1-66ISU6,Voluntary starvation (<24 hrs),Minor,26/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66ISQX,Voluntary starvation (<24 hrs),Minor,26/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66ISQ1,Voluntary starvation (<24 hrs),Minor,26/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66ISPY,Voluntary starvation (<24 hrs),Minor,26/02/11 21:00,,Curtin IDC,Service Provider Staff
1-66P7GX,Voluntary starvation (<24 hrs),Minor,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66P7FB,Voluntary starvation (<24 hrs),Minor,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66P78T,Voluntary starvation (>24 hrs),Major,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66N29H,Voluntary starvation (>24 hrs),Major,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66N25Q,Voluntary starvation (>24 hrs),Major,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66IT49,Voluntary starvation (>24 hrs),Major,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66ISL9,Voluntary starvation (>24 hrs),Major,26/02/11 22:00,,Curtin IDC,Service Provider Staff
1-677CZ3,Complaint Unresolved in time,Minor,26/02/11 23:55,,Lilac Aqua,Service Provider Staff
1-66QIJK,Voluntary starvation (<24 hrs),Minor,26/02/11 23:55,,North West Point Immigration Facility,Service Provider Staff
1-66P797,Accident/Injury - Serious,Critical,27/02/11 0:30,,Curtin IDC,Service Provider Staff
1-66N2AI,Transfer btwn facilities,Minor,27/02/11 0:40,,Northern IDC,Service Provider Staff
1-66IT1M,Accident/Injury - Serious,Critical,27/02/11 1:50,,Melbourne ITA,Service Provider Staff
1-66J0KD,Abusive/Aggressive Behaviour,Minor,27/02/11 2:25,,Villawood IDC,Service Provider Staff
1-66J0JX,Abusive/Aggressive Behaviour,Minor,27/02/11 2:30,,Villawood IDC,Service Provider Staff
1-66P7I2,Contraband found,Minor,27/02/11 4:15,,Northern IDC,Service Provider Staff
1-66Q787,Failure - IT Systems,Minor,27/02/11 7:30,,North West Point Immigration Facility,Service Provider Staff
1-66Q0TM,Voluntary starvation (>24 hrs),Major,27/02/11 8:15,,North West Point Immigration Facility,Service Provider Staff
1-66QKRE,Self Harm-Attpted Serious,Critical,27/02/11 11:45,,Curtin IDC,Service Provider Staff
1-675OOF,Complaint Unresolved in time,Minor,27/02/11 12:12,,North West Point Immigration Facility,Service Provider Staff
1-66QXNO,Abusive/Aggressive Behaviour,Minor,27/02/11 12:35,,Lilac Aqua,Service Provider Staff
1-66R3LR,Abusive/Aggressive Behaviour,Minor,27/02/11 13:25,,Northern IDC,Service Provider Staff
1-66QXRA,Disturbance - Minor,Minor,27/02/11 13:56,,Lilac Aqua,Service Provider Staff
1-66QWHM,Voluntary starvation (<24 hrs),Minor,27/02/11 14:15,,North West Point Immigration Facility,Service Provider Staff
1-66QWS0,Demonstration - Onsite,Major,27/02/11 14:35,,North West Point Immigration Facility,Service Provider Staff
1-66QIL6,Failure - IT Systems,Minor,27/02/11 15:15,,Villawood IDC,Service Provider Staff
1-66QUCX,Visitor-Other refused,Minor,27/02/11 16:00,,Melbourne ITA,Service Provider Staff
1-66RGBI,Disturbance - Minor,Minor,27/02/11 17:30,,North West Point Immigration Facility,Service Provider Staff
1-675OHI,Complaint Unresolved in time,Minor,27/02/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-675OGZ,Complaint Unresolved in time,Minor,27/02/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-673CB9,Complaint Unresolved in time,Minor,27/02/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-675OKT,Complaint Unresolved in time,Minor,27/02/11 18:15,,North West Point Immigration Facility,Service Provider Staff
1-66QY21,Accident/Injury - Serious,Critical,27/02/11 20:10,,Melbourne ITA,Service Provider Staff
1-66RPD2,Escape - Attempted,Major,27/02/11 21:05,,Melbourne ITA,Service Provider Staff
1-66RWNS,Disturbance - Major,Major,27/02/11 22:00,,Northern IDC,Service Provider Staff
1-66RY83,Voluntary starvation (>24 hrs),Major,27/02/11 22:00,,Curtin IDC,Service Provider Staff
1-66RPFL,Self Harm - Actual,Critical,27/02/11 23:25,,Melbourne ITA,Service Provider Staff
1-66Y4BI,Damage - Minor,Minor,28/02/11 1:30,,Curtin IDC,Service Provider Staff
1-677CMK,Complaint Unresolved in time,Minor,28/02/11 3:00,,Northern IDC,Service Provider Staff
1-674OIZ,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-674OIS,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-674OD2,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-674O86,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-674O7Z,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-6734KE,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-6727WZ,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-6727WT,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-6727UF,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-670974,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-6708SL,Voluntary starvation (<24 hrs),Minor,28/02/11 6:15,,Curtin IDC,Service Provider Staff
1-674OTC,Complaint Unresolved in time,Minor,28/02/11 8:30,,Northern IDC,Service Provider Staff
1-6724QN,Voluntary starvation (>24 hrs),Major,28/02/11 9:00,,North West Point Immigration Facility,Service Provider Staff
1-6724ZA,Voluntary starvation (<24 hrs),Minor,28/02/11 9:20,,North West Point Immigration Facility,Service Provider Staff
1-66YIOG,Industrial Action - Minor,Minor,28/02/11 10:40,,Maribyrnong IDC,Service Provider Staff
1-673C0R,Disturbance - Minor,Minor,28/02/11 10:50,,Perth IRH,Service Provider Staff
1-66ZATI,Complaint - re Minor Incident,Minor,28/02/11 11:05,,Villawood IDC,Service Provider Staff
1-675OOO,Complaint Unresolved in time,Minor,28/02/11 12:16,,North West Point Immigration Facility,Service Provider Staff
1-675OP7,Complaint Unresolved in time,Minor,28/02/11 12:27,,North West Point Immigration Facility,Service Provider Staff
1-677FI6,Use of Restraints,Minor,28/02/11 12:40,,Villawood IDC,Service Provider Staff
1-6714OC,Abusive/Aggressive Behaviour,Minor,28/02/11 12:40,,Villawood IDC,Service Provider Staff
1-676FDC,Voluntary  Starvation - End of,Minor,28/02/11 13:23,,North West Point Immigration Facility,Service Provider Staff
1-678IDU,Abusive/Aggressive Behaviour,Minor,28/02/11 14:00,,Lilac Aqua,Service Provider Staff
1-678IV4,Complaint Unresolved in time,Minor,28/02/11 14:00,,Northern IDC,Service Provider Staff
1-678IT7,Transfer to APOD,Minor,28/02/11 14:45,,Villawood IDC,Service Provider Staff
1-677D0Q,Complaint Unresolved in time,Minor,28/02/11 14:51,,Lilac Aqua,Service Provider Staff
1-676F2T,Abusive/Aggressive Behaviour,Minor,28/02/11 16:10,,Sydney IRH,Service Provider Staff
1-67NMR5,Damage - Minor,Minor,28/02/11 16:30,,Northern IDC,Service Provider Staff
1-67JB2S,Voluntary starvation (<24 hrs),Minor,28/02/11 21:00,,Curtin IDC,Service Provider Staff
1-67JAUJ,Voluntary starvation (<24 hrs),Minor,28/02/11 21:00,,Curtin IDC,Service Provider Staff
1-67IJ1S,Voluntary starvation (<24 hrs),Minor,28/02/11 21:00,,Curtin IDC,Service Provider Staff
1-67HMMA,Voluntary starvation (<24 hrs),Minor,28/02/11 21:00,,Curtin IDC,Service Provider Staff
1-67HMIS,Voluntary starvation (<24 hrs),Minor,28/02/11 21:00,,Curtin IDC,Service Provider Staff
1-679MBY,Voluntary starvation (<24 hrs),Minor,28/02/11 21:16,,North West Point Immigration Facility,Service Provider Staff
1-6796N7,Voluntary starvation (>24 hrs),Major,28/02/11 21:45,,Curtin IDC,Service Provider Staff
1-6796VL,Voluntary starvation (<24 hrs),Minor,28/02/11 21:55,,Perth IDC,Service Provider Staff
1-6LD7BV,Assault - Minor,Major,1/03/11 0:35,,Gwalia Lodge,Service Provider Staff
1-692GHE,Use of Force,Major,1/03/11 4:00,,Villawood IDC,Service Provider Staff
1-6799TP,Escape,Critical,1/03/11 4:00,,Villawood IDC,Service Provider Staff
1-67FPDD,Transfer to APOD,Minor,1/03/11 4:10,,Construction Camp APOD,Service Provider Staff
1-67G1XB,Transfer to APOD,Minor,1/03/11 4:15,,Construction Camp APOD,Service Provider Staff
1-67GQ3Y,Complaint Unresolved in time,Minor,1/03/11 8:00,,Northern IDC,Service Provider Staff
1-67JZYS,Voluntary starvation (>24 hrs),Major,1/03/11 9:20,,North West Point Immigration Facility,Service Provider Staff
1-67MDSH,Abusive/Aggressive Behaviour,Minor,1/03/11 9:30,,Lilac Aqua,Service Provider Staff
1-67KM72,Self Harm - Threatened,Major,1/03/11 10:10,,Melbourne ITA,Service Provider Staff
1-67KLZU,Abusive/Aggressive Behaviour,Minor,1/03/11 10:35,,Northern IDC,Service Provider Staff
1-67OAS3,Abusive/Aggressive Behaviour,Minor,1/03/11 10:40,,Lilac Aqua,Service Provider Staff
1-67NAAH,Voluntary starvation (<24 hrs),Minor,1/03/11 11:00,,North West Point Immigration Facility,Service Provider Staff
1-67K09C,Use of Force,Major,1/03/11 11:00,,Perth IDC,Service Provider Staff
1-67LJA8,Complaint Unresolved in time,Minor,1/03/11 11:13,,North West Point Immigration Facility,Service Provider Staff
1-67MDNW,Complaint Unresolved in time,Minor,1/03/11 11:23,,North West Point Immigration Facility,Service Provider Staff
1-67LIOI,Use of Force,Major,1/03/11 12:00,,Northern IDC,Service Provider Staff
1-67IJ0E,Self Harm - Threatened,Major,1/03/11 12:30,,Melbourne ITA,Service Provider Staff
1-67ME6R,Transfer to APOD,Minor,1/03/11 13:00,,Northern IDC,Service Provider Staff
1-67KLTY,Self Harm - Threatened,Major,1/03/11 13:45,,Melbourne ITA,Service Provider Staff
1-67ME2N,Abusive/Aggressive Behaviour,Minor,1/03/11 14:15,,Northern IDC,Service Provider Staff
1-67P3Z7,Accident/Injury - Serious,Critical,1/03/11 14:30,,Gwalia Lodge,Service Provider Staff
1-68O33K,Abusive/Aggressive Behaviour,Minor,1/03/11 15:15,,Northern IDC,Service Provider Staff
1-67P43M,Self Harm - Threatened,Major,1/03/11 15:30,,North West Point Immigration Facility,Service Provider Staff
1-67WRWO,Abusive/Aggressive Behaviour,Minor,1/03/11 16:00,,Villawood IDC,Service Provider Staff
1-67QCM4,Disturbance - Minor,Minor,1/03/11 16:00,,Curtin IDC,Service Provider Staff
1-67N9YV,Assault - Not OBH,Minor,1/03/11 16:20,,Villawood IDC,Service Provider Staff
1-67P3ZT,Complaint Unresolved in time,Minor,1/03/11 17:16,,Construction Camp APOD,Service Provider Staff
1-67XZRG,Contraband found,Minor,1/03/11 17:20,,North West Point Immigration Facility,Service Provider Staff
1-67PVAA,Damage - Minor,Minor,1/03/11 19:05,,Melbourne ITA,Service Provider Staff
1-68432U,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67WRV7,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYU8,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYU2,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYSI,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYSA,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYR0,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYPO,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-67UYOB,Voluntary starvation (<24 hrs),Minor,1/03/11 20:00,,Curtin IDC,Service Provider Staff
1-6KUC4H,Accident/Injury - Serious,Critical,1/03/11 20:30,,Sydney IRH,Service Provider Staff
1-67QCGV,Weapon - Client in possession,Major,1/03/11 20:30,,Perth IDC,Service Provider Staff
1-6843FU,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-6843AO,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-6842UR,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-682295,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-67Z7LF,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-67Z795,Voluntary starvation (<24 hrs),Minor,1/03/11 21:00,,Curtin IDC,Service Provider Staff
1-67QCUV,Voluntary starvation (>24 hrs),Major,1/03/11 21:15,,North West Point Immigration Facility,Service Provider Staff
1-67QGDU,Self Harm - Threatened,Major,1/03/11 21:20,,Perth IDC,Service Provider Staff
1-67QCKQ,Abusive/Aggressive Behaviour,Minor,1/03/11 21:20,,Curtin IDC,Service Provider Staff
1-67WYAO,Voluntary starvation (<24 hrs),Minor,1/03/11 22:45,,Northern IDC,Service Provider Staff
1-67WY95,Voluntary starvation (<24 hrs),Minor,1/03/11 22:45,,Northern IDC,Service Provider Staff
1-67WY5P,Voluntary starvation (<24 hrs),Minor,1/03/11 22:45,,Northern IDC,Service Provider Staff
1-67WY3M,Voluntary starvation (<24 hrs),Minor,1/03/11 22:45,,Northern IDC,Service Provider Staff
1-67WY14,Voluntary starvation (<24 hrs),Minor,1/03/11 22:45,,Northern IDC,Service Provider Staff
1-67QCYB,Voluntary starvation (>24 hrs),Major,1/03/11 23:20,,Curtin IDC,Service Provider Staff
1-682WVS,Transfer to APOD,Minor,1/03/11 23:25,,Inverbrackie APOD,Service Provider Staff
1-6AN63R,Voluntary  Starvation - End of,Minor,1/03/11 23:30,,North West Point Immigration Facility,Service Provider Staff
1-6KL4LW,Self Harm - Threatened,Major,1/03/11 23:55,,Melbourne ITA,Service Provider Staff
1-67X5WG,Abusive/Aggressive Behaviour,Minor,2/03/11 7:00,,Villawood IDC,Service Provider Staff
1-680F6W,Complaint Unresolved in time,Minor,2/03/11 8:00,,Northern IDC,Service Provider Staff
1-68225R,Self Harm - Threatened,Major,2/03/11 8:30,,Lilac Aqua,Service Provider Staff
1-688EBR,Assault - Not OBH,Minor,2/03/11 10:15,,Villawood IDC,Service Provider Staff
1-686J5B,Abusive/Aggressive Behaviour,Minor,2/03/11 10:30,,North West Point Immigration Facility,Service Provider Staff
1-6821KU,Abusive/Aggressive Behaviour,Minor,2/03/11 10:40,,Inverbrackie APOD,Service Provider Staff
1-68835Y,Contraband found,Minor,2/03/11 10:50,,North West Point Immigration Facility,Service Provider Staff
1-682X46,Self Harm - Actual,Critical,2/03/11 10:50,,North West Point Immigration Facility,Service Provider Staff
1-6843AC,Voluntary starvation (>24 hrs),Major,2/03/11 10:55,,North West Point Immigration Facility,Service Provider Staff
1-68837W,Contraband found,Minor,2/03/11 11:00,,Northern IDC,Service Provider Staff
1-6838AE,Use of Force,Major,2/03/11 11:35,,Curtin IDC,Service Provider Staff
1-686J63,Assault - Minor,Major,2/03/11 12:46,,Lilac Aqua,Service Provider Staff
1-687OUP,Complaint Unresolved in time,Minor,2/03/11 14:54,,North West Point Immigration Facility,Service Provider Staff
1-687OUS,Complaint Unresolved in time,Minor,2/03/11 14:56,,North West Point Immigration Facility,Service Provider Staff
1-6838NE,Complaint Unresolved in time,Minor,2/03/11 15:00,,Northern IDC,Service Provider Staff
1-6856JV,Media - Unauthorised presence,Critical,2/03/11 15:25,,Inverbrackie APOD,Service Provider Staff
1-6LAT3I,Self Harm - Threatened,Major,2/03/11 15:40,,Gwalia Lodge,Service Provider Staff
1-687OWP,Transfer to APOD,Minor,2/03/11 15:45,,Northern IDC,Service Provider Staff
1-688EJW,Contraband found,Minor,2/03/11 16:00,,North West Point Immigration Facility,Service Provider Staff
1-6856M0,Voluntary starvation (<24 hrs),Minor,2/03/11 16:00,,Villawood IDC,Service Provider Staff
1-6883M2,Self Harm - Threatened,Major,2/03/11 16:15,,North West Point Immigration Facility,Service Provider Staff
1-6LA5C0,Failure - Security System,Major,2/03/11 17:00,,Villawood IDC,Service Provider Staff
1-688S17,Abusive/Aggressive Behaviour,Minor,2/03/11 17:45,,Lilac Aqua,Service Provider Staff
1-688WRJ,Voluntary  Starvation - End of,Minor,2/03/11 17:45,,North West Point Immigration Facility,Service Provider Staff
1-688WXO,Voluntary  Starvation - End of,Minor,2/03/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-688WVJ,Voluntary  Starvation - End of,Minor,2/03/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-688WKA,Disturbance - Major,Major,2/03/11 18:30,,Curtin IDC,Service Provider Staff
1-68IZI9,Accident/Injury - Serious,Critical,2/03/11 19:00,,Port Augusta IRH,Service Provider Staff
1-688RZJ,Complaint Unresolved in time,Minor,2/03/11 20:00,,Northern IDC,Service Provider Staff
1-688RZB,Complaint Unresolved in time,Minor,2/03/11 20:00,,Northern IDC,Service Provider Staff
1-688RXY,Complaint Unresolved in time,Minor,2/03/11 20:00,,Northern IDC,Service Provider Staff
1-689FA8,Accident/Injury - Serious,Critical,2/03/11 20:15,,Northern IDC,Service Provider Staff
1-688WYO,Self Harm - Actual,Critical,2/03/11 20:25,,Curtin IDC,Service Provider Staff
1-68ODNQ,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68ODNI,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68O3LM,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68N8LM,Voluntary starvation (>24 hrs),Major,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68N8H7,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68N8H1,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68N8AX,Voluntary starvation (>24 hrs),Major,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68M791,Voluntary starvation (>24 hrs),Major,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68M72E,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Curtin IDC,Service Provider Staff
1-68EK2J,Voluntary starvation (<24 hrs),Minor,2/03/11 21:00,,Northern IDC,Service Provider Staff
1-688WMN,Failure - Security System,Major,2/03/11 21:55,,Villawood IDC,Service Provider Staff
1-688S1S,Accident/Injury - Serious,Critical,2/03/11 22:05,,Melbourne ITA,Service Provider Staff
1-68P18B,Disturbance - Minor,Minor,2/03/11 22:30,,Curtin IDC,Service Provider Staff
1-689FCE,Self Harm - Threatened,Major,2/03/11 23:40,,Northern IDC,Service Provider Staff
1-68YQHS,Abusive/Aggressive Behaviour,Minor,3/03/11 0:10,,North West Point Immigration Facility,Service Provider Staff
