id,type,severity,date,facility,description,location
1-5CG1C8  ,Assault - Not OBH,Minor,9/12/10,Villawood IDC,Client s. 47F(1) struck client s. 47F(1) in the left ear,Fowler,
1-5CG13W,Transfer to APOD,Minor,9/12/10,Northern IDC,Client admitted to RDH for broken ankle,Darwin Airport Lodge,
1-5CGSGW,Complaint - re Minor Incident,Minor,9/12/10,Gwalia Lodge,"A client rerquest was recieved by CSM Grant NEILL at 1500hrs, clients requested to meet with Centre Manager.","Leonora APOD, Charlie 1 office",
1-5CH536,Voluntary starvation (>24 hrs),Major,9/12/10,Northern IDC,Client was on VS.,"NIDC, North 1",
1-5CGSB1,Voluntary starvation (<24 hrs),Minor,9/12/10,Brisbane ITA,Clients advised Acting Client Service Manager that they are not threatening self harm but that that they are not eating.,Virginia Palms Motel APOD,
1-5CH5A3,Birth of a child,Minor,9/12/10,Brisbane ITA,Client gave birth to baby boy at RBH at 1045hrs,Royal Brisbane Hospital.,
1-5CBOXF ,Media - Unauthorised presence,Critical,9/12/10,Curtin IDC,1 x Vehicle onsite with 2 x Media Personnel onboard in attendance at Curtin IDC as part of Ministerial Delegation with Opposition Minister Tony Abbott,Curtin Immigration Detention Centre Ministerial Delegation conducted Walkaround to Various Areas within Centre escorted by DIAC Management and Serco Senior Management.,
1-5CGO2U ,Complaint - re Minor Incident,Minor,9/12/10,Northern IDC,3rd Party complaints received,NIDC,
1-5CAPMA ,Accident/Injury - Serious,Critical,9/12/10,Curtin IDC,s. 47F(1) presented with hot water burns.,Delta crib room,
1-5C84BU,Voluntary starvation (<24 hrs),Minor,8/12/10,Northern IDC,Client missed meals and advised IHMS that he is not eating.,NIDC Nortn 1 compound,
1-5C84AU,Voluntary starvation (<24 hrs),Minor,8/12/10,Northern IDC,Client stated that he is on voluntary starvation,NIDC North 1 compound,
1-5C2VT9,Accident/Injury - Serious,Critical,8/12/10,Port Augusta IRH,"s. 47F(1) entered the kitchen area with a minor graze on her left knee and left elbow, then s. 47F(1) entered the kitchen area with a minor graze on his right knee. Both were as a result of falling off their bikes.",PAIRH medium strip and entered the staff kitchen area.,
1-5C26RN,Accident/Injury - Serious,Critical,8/12/10,Villawood IDC,Client s. 47F(1) admitted to Bankstown Hospital at 1820 hrs.,VIDC Hughes compound,
1-5C2V5E,Assault - Not OBH,Minor,8/12/10,Northern IDC,"Clients s. 47F(1) hting, open handed blows landed.","ASTI Hotel, Darwin.",
1-5BZQSY  ,Accident/Injury - Serious,Critical,8/12/10,Northern IDC,Client collapsed when leaving the dinning room.,Darwin Airport Lodge,
1-5C0NMM ,Failure - IT Systems,Minor,8/12/10,Northern IDC,"Power failure to North1, Control, Property.",NIDC,
1-5DKYVG ,Assault - Minor,Major,8/12/10,Gwalia Lodge,A report was received from DIAC officer Sean RYAN that at approximately 1320hrs of Wednesday 8th of December 2010 Clients were involved in an altercation when at school.,Leonora District school. Leonora,
1-5BW380,Media - Unauthorised presence,Critical,8/12/10,Port Augusta IRH,Media were at the front gate,At approx 1130 a camera man set up a camera about 20 meters from the main gate. I approched the operator to identify himself. He works for channel 10 and is doing a good news story about how well the clients have settled in and how the neibours get on with them. The story will be aired on 9/12/10 nite news. The camera man then went to the western end of the complex to film from there. He then returned to the main gate where a female roporter was talking on a camera.they left at 1225.,
1-5BU3HI,Media - Unauthorised presence,Critical,8/12/10,Villawood IDC,2 x ABC studios vehicles at bermingham ave,VIDC,
1-5BVXRY  ,Accident/Injury - Serious,Critical,8/12/10,Maribyrnong IDC,"Client sent to the Western General Hospital via Ambulance on the recommendation of the MIDC's Nurse, due to chest pains.",IHMS Nurses station,
1-5BY92R,Self Harm - Actual,Critical,8/12/10,North West Point Immigration Facility,"Code Blue called at 0856 hours, client s. 47F(1) self harmed by laceration to the writst",White 2,
1-5BYSSV  ,Media - Approach staff/clients,Minor,8/12/10,Brisbane ITA,Person stating they were from Channel 7 rang clients accommodation villa,Virginia Palms Motel APOD.,
1-5BZKB2,Disturbance - Minor,Minor,8/12/10,Brisbane ITA,Person unknown attempted to gain entrance to PID's accommodation facility at the Virginia Palms Motel APOD,Virginia Palms Motel APOD.,
1-5BOMCU ,Media - Unauthorised presence,Critical,8/12/10,Villawood IDC,2 x Vehicle's with Media Onsite at Villawood IDC,Birmingham Ave Entry to Villawood IDC and Miowerra Rd Entry.,
1-5DCDOP ,Death,Critical,8/12/10,Villawood IDC,Client Death in custody on the 08.12.2010 in Blaxland VIDC - please also refer to IR number 1-5BOJYQ - self Harm critical.,Dorm 1 Blaxland VIDC,
1-5BOJYQ  ,Self Harm - Actual,Critical,8/12/10,Villawood IDC,Client s. 47F(1) self harmed in Dorm 1 Blaxland VIDC.,VIDC Blaxland compound,
1-5BVX7M  ,Self Harm - Threatened,Major,8/12/10,North West Point Immigration Facility,Client s. 47F(1) Allegedly Threatened Self Harm,White 2 Compound,
1-5BN25N,Accident/Injury - Serious,Critical,7/12/10,Villawood IDC,Client s. 47F(1) was taken to hospital after having a seizure,Fowler,
1-5BNXAV,Assault - Minor,Major,7/12/10,Villawood IDC,Client s. 47F(1) alleged client s. 47F(1) assaulted him.,VIDC Fowler compound,
1-5BOJP0,Assault - Minor,Major,7/12/10,Perth IDC,Client touched CSO in what was considered an inapproriate manner and tried to hug her,Medical room,
1-5C26ZE,Failure - IT Systems,Minor,7/12/10,Northern IDC,Internet server down,NIDC,
1-5BW339,Failure - IT Systems,Minor,7/12/10,Curtin IDC,internet accsess failed,Serco Admin Block,
1-5BW31S  ,Failure - IT Systems,Minor,7/12/10,Curtin IDC,Power Outage in Administration at approximatly 1520 and power resumed at approximatly 1605,Administration at Curtin IDC,
1-5BLLWN ,Assault - Not OBH,Minor,7/12/10,Villawood IDC,During a Client Consulative committee meeting client s. 47F(1) punched client s. 47F(1) s. 47F(1) on the left cheekbone,"Villawood IDC, Blaxland compound.",
1-5BK4NE,Disturbance - Minor,Minor,7/12/10,Villawood IDC,"During a Client Consulative committee meeting with Serco, Immigration & in the presence of interpreters, clients became verbal against each other that turned into aggressive pushing & one client been punched on the cheekbone.","Villawood IDC, Blaxland compound.",
1-5BMGA0 ,Assault - Minor,Major,7/12/10,North West Point Immigration Facility,ALTERCATION BETWEEN CLIENT s. 47F(1) AND OFFICER C.ROBERTSON.,"Education 2 , internet officers station.",
1-5BMGKM,Self Harm - Threatened,Major,7/12/10,Brisbane ITA,client is daughter whose father would not guarantee their personal safety,Virginia Palms Hotel room 95,
1-5BMGK3 ,Self Harm - Threatened,Major,7/12/10,Brisbane ITA,client is a child whose father could not guarantee their personal safety,Virginia Palms Hotel  Room 95,
1-5BMGDQ,Self Harm - Threatened,Major,7/12/10,Brisbane ITA,Clients husband could not guarantee personal safety of his family,Virginia Palms Hotel room 95,
1-5BMG40 ,Self Harm - Threatened,Major,7/12/10,Brisbane ITA,Client threatened self harm,Room 95 Virginia Palms Hotel,
1-5BI3PF,Abusive/Aggressive Behaviour,Minor,7/12/10,Villawood IDC,Client s. 47F(1) got angry after recieving negative news in regards to his home visits. Client s. 47F(1) lifted a table from 1 end where the table & everything on it fell on the floor.,"Villawood IDC, Blaxland, Annex.",
1-5BNLJI,Abusive/Aggressive Behaviour,Minor,7/12/10,North West Point Immigration Facility,Client s. 47F(1) refused to present his ID card and pushed in line for lunch. He then threatened and abused various staff.,Aqua compound kitchen servery,
1-5BK4GZ,Assault - Not OBH,Minor,7/12/10,Perth IDC,"Client s. 47F(1) pulled Client s. 47F(1) mother hair, poked her with a small stick and the proceeded to throw the stick at her.","Banksia Tourist Park ""APOD""",
1-5BGZL6,Birth of a child,Minor,7/12/10,Brisbane ITA,Male child born at RBH.,Royal Brisbane Women's Hospital,
1-5BNKZT,Damage - Minor,Minor,7/12/10,Villawood IDC,Client s. 47F(1) smashed a microwave.,Blaxland - Dorm 3,
1-5B7BH9,Abusive/Aggressive Behaviour,Minor,7/12/10,Curtin IDC,Client became aggressive to staff in the Internet room.,Internet room.,
1-5B8HFF,Assault - Serious,Critical,6/12/10,North West Point Immigration Facility,Code Black called Clients Fighting.,White 1 common area,
1-5B6WIC,Escape,Critical,6/12/10,SA Detention Operations,Client successfully esaped from Adelaide APOD,"41 Britton Street, West Richmond",
1-5BCRHV ,Complaint - re Minor Incident,Minor,6/12/10,Villawood IDC,Comlpaint by s. 47F(1) now three days since submission,Complaint about another clients behaviour,
1-5B63FP,Failure - IT Systems,Minor,6/12/10,Northern IDC,Power failure. Emergency lighting is on.,Darwin Airport Lodge - Entire centre,
1-5B5K76,Abusive/Aggressive Behaviour,Minor,6/12/10,Maribyrnong IDC,Client s. 47F(1) demonstrated abusive aggressive behaviour.,MIDC Panda Hub,
1-5B5N9G,Voluntary  Starvation - End of,Minor,6/12/10,Villawood IDC,Clients. 47F(1) is off VHS .,Fowler .,
1-5B483G,Self Harm - Actual,Critical,6/12/10,Melbourne ITA,Client s. 47F(1) was found in his accommodation room with self inflicted wounds on his upper left arm.,Room 11 Diamond block MITA,
1-5B6QT2,Abusive/Aggressive Behaviour,Minor,6/12/10,North West Point Immigration Facility,"Client was dishing out food and standing over the kitchen servers, when spoken to by Acting Ops Manager Dowling he became verbally abusive and strted shaking his hands at her.",Dining Area Aqua Compound,
1-5BIP82,Abusive/Aggressive Behaviour,Minor,6/12/10,North West Point Immigration Facility,Clients. 47F(1) attended the lunch welfare check and when asked to queue in the line became abuse and aggressive.,Dining Area Aqua Compound North West Point.,
1-5AUDVO ,Accident/Injury - Serious,Critical,5/12/10,Maribyrnong IDC,Client serverly damaged right wrist in attemp to escape centre. Clent immediately sent to St Vincents emergency hospital.,Zone 5 inside perimeter fence line,
1-5AUDOO ,Escape,Critical,5/12/10,Maribyrnong IDC,"3x clients used beds sheets with books as anchors to scale the MIDC perimeter fence in Zone five. 2x clients were successfully, 1x client was aprehended by serco staff but was injured in the process and had to be taken to hospital.",Zone A room 07,
1-5AUDOV ,Escape,Critical,5/12/10,Christmas Island,Client s. 47F(1) ) successfully escaped Phosphate Alpha and was found at Construction Camp India Block visiting friends.,Phosphate Hill Alpha Compound,
1-5AU2BG  ,Disturbance - Major,Major,5/12/10,North West Point Immigration Facility,Altercation between clients which resulted in a client being transported to NWP Medical Centre.,Aqua Compound,
1-5ATEBU  ,Self Harm - Threatened,Major,5/12/10,Villawood IDC,Client s. 47F(1) threatened to harm himself if he was not allowed to take his medication to his room.,VIDC Fowler compound,
1-5ATTY0,Accident/Injury - Serious,Critical,5/12/10,Curtin IDC,code blue medical s. 47F(1),delta accomodation,
1-5ATE5R,Assault - Minor,Major,5/12/10,Melbourne ITA,Client s. 47F(1) and interpreter s. 47F(1) approahed reception 1 which was posted  by CSW Perisamy and claimed that he Along laundry and mess area of MITA was allegedly beaten up by 3 x clients while he was making his way to his accommodation after returnning from the gym escort.,Along laundry and mess area of MITA 2,
1-5ASJJ0,Complaint - re Minor Incident,Minor,5/12/10,Northern IDC,Complaint Unresolved,Darwin Airport Lodge,
1-5AT3MK  ,Disturbance - Minor,Minor,4/12/10,North West Point Immigration Facility,A minor disturbance by clients in Blue 2 compound at 2230hrs,Blue 2 Compound .Grassed area,
1-5ALJ9A,Escape,Critical,4/12/10,Christmas Island,Police returned 12 year old client s. 47F(1),Christmas Island Cricket Club,
1-5B0E49,Voluntary  Starvation - End of,Minor,4/12/10,Scherger IDC,At 2000hrs  clients. 47F(1) had a meal in the Client dinning room ending his voluntary starvation.,Scherger IDC client dinning room,
1-5ALJ74,Abusive/Aggressive Behaviour,Minor,4/12/10,Scherger IDC,At Approximately s. 47F(1) the 04/12/2010 Client s. 47F(1) became abusive and very aggressive towards CSM Tim Byrne in the computer room.,Scherger IDc Internet room,
1-5AKWJ7  ,Visitor-Other refused,Minor,4/12/10,Maribyrnong IDC,2 Visitors refused entry ,MIDC,
1-5AMQCO,Voluntary starvation (>24 hrs),Major,4/12/10,Scherger IDC,"s. 47F(1) has not eaten a substantial meal for a number of days,  At 1440 hrs on the 4th of December he was again placed in high Imminent PSP.",Scherger IDC,
1-5AKDVA  ,Self Harm - Actual,Critical,4/12/10,North West Point Immigration Facility,Self Harm Actual - s. 47F(1),Blue 1 Compound - Dining Area,
1-5ALIN0,Transfer to APOD,Minor,4/12/10,Perth IDC,Client admitted to Sir Charles Gardiner hospital,PIDC,
1-5AB2E1,Accident/Injury - Serious,Critical,3/12/10,Brisbane ITA,Client reported to be unwell and clutching his chest area. Client transported to hospital for further assessment by ambulance,"BITA Centre, Brisbane",
1-5AAOK3  ,Damage - Minor,Minor,3/12/10,Northern IDC,Window broken by 2 client's and 1 Life Without Barriers staff member play wrestling.,"ASTI Apod Darwin, Room 15.",
1-5AAE0Z,Damage - Minor,Minor,3/12/10,Northern IDC,Window broken by client's playing ballgames.,"ASTI Apod Darwin, Room 13.",
1-5ABIM8,Accident/Injury - Serious,Critical,3/12/10,Villawood IDC,Client s. 47F(1) from Hughes compound taken to Bankshouse for assessment,HUGHES VIDC,
1-5A9S9G,Disturbance - Minor,Minor,3/12/10,Northern IDC,Power outage. Electrician contacted for repairs.,Darwin Airport Lodge,
1-5A9S4S,Accident/Injury - Serious,Critical,3/12/10,Northern IDC,"Client presented to IHMS staff, appeared to be dizzy.",Darwin Airport Lodge,
1-5A9CWY ,Disturbance - Minor,Minor,3/12/10,Northern IDC,Power outage at DAL at approx 1455. Power and water contacted at approx 1500.,Darwin Airport Lodge,
1-5B5NOS  ,Use of Observation Rm > 24 hrs,Major,3/12/10,Villawood IDC,client s. 47F(1) now in Murray Unit over 24 hrs,Murray Unit,
1-5A9CQM ,Accident/Injury - Serious,Critical,3/12/10,Northern IDC,Client is 8 weeks pregnants. presented to IHMS staff complaining of stomach pains.,Darwin Airport Lodge,
1-5A8NCG,Accident/Injury - Serious,Critical,3/12/10,Villawood IDC,Client s. 47F(1) escorted via ambulance to Auburn Hospital with 3 Serco staff,Blaxland,
1-5AADG0 ,Contraband found,Minor,3/12/10,Gwalia Lodge,while conducting regular room searches contraband was found and removed.,Room 5 and Room 63 at Leonora APOD,
1-5A83NU,Abusive/Aggressive Behaviour,Minor,3/12/10,Villawood IDC,Client s. 47F(1) continuously being abusive and noncompliant whilst in the Murray Unit.,Murray Unit - Villawood IDC,
1-5A6WY2  ,Abusive/Aggressive Behaviour,Minor,3/12/10,Villawood IDC,Client s. 47F(1) was abusive and aggresive at the fishbowl,Blaxland - Fishbowl,
1-5A9SC0,Assault - Minor,Major,3/12/10,Curtin IDC,Clients  fighting in the internet room,Internet Room Curtin IDC,
1-5A9CU8,Transfer to APOD,Minor,3/12/10,Perth IDC,Client admitted to Hospital.,Fremantle Hospital,
1-5BW316,Accident/Injury - Serious,Critical,3/12/10,Northern IDC,Client returned to DAL. IR Closed,Darwin Airport Lodge,
1-5BW2V4  ,Accident/Injury - Serious,Critical,3/12/10,Northern IDC,IR completed and closed,Darwin Airport Lodge,
1-5AA8QA  ,Self Harm - Threatened,Major,3/12/10,North West Point Immigration Facility,"IHMS informed Diac at 1015 of client s. 47F(1) self harm threat. Serco recieved this information at 1400hrs, The client was placed on moderates, the compound officer has been notified immediately",NWP ONSITE MEDICAL CENTRE,
1-5A7I2R,Assault - Not OBH,Minor,3/12/10,North West Point Immigration Facility,"s. 47F(1)  (AFGHANI) SLAPPED AND TREW ACHAIR AT s. 47F(1) ( ARABIC) IN RESPONSE TO ADISPUTE OVER TOAST. NO INJURIES WERE INCCURRED, NO REQUEST TO ATTEND MEDICAL WHICH WAS OFFERED.THE AUTHOR ADVICES THAT THE SYSTEM IS VERY INCONSISTENT. TIMINGS ARE ACTUAL","MARQUEE COMPOUND, NWP",
1-5A7IPY,Public Health Risk - L/Serious,Minor,3/12/10,SA Detention Operations,Clients relocated to 41 Britton Street due to gas leak in 41a Britton Street,41a Britton Street,
1-5A3K97,Accident/Injury - Serious,Critical,3/12/10,Port Augusta IRH,Escort to hospital,s. 47F(1) came tothe office at approx 0620 with chestpains. TRIAGE was called at approx 0622 advised by TRIAGE to take s. 47F(1) to Port Augusta Hospital. s. 47F(1) was transported to PA H by CSW Steart in a SERCO car. On arrival he was admitted to HDU where an ECG and blood test were taken. Sir Kingsford Smith International Airport,
1-5A5X8L,Removal - Aborted,Major,3/12/10,Villawood IDC,On Friday 3rd December 2010 removal of Clinet: s. 47F(1) on flight: QF063 at 1030hrs was abborted by DIAC at approximatley 1040hrs.,Sir Kingsford Smith International Airport - Sydney,
1-59TLAQ,Abusive/Aggressive Behaviour,Minor,2/12/10,Villawood IDC,Client s. 47F(1) became aggressive and smashed a computer in Blaxland VIDC,Blaxland VIDC,
1-59TL8C,Damage - Minor,Minor,2/12/10,Villawood IDC,Client s. 47F(1) smashed a computer in Blaxland.,Blaxland VIDC,
1-59TLTG,Self Harm - Actual,Critical,2/12/10,Scherger IDC,Client s. 47F(1) as observed hitting his head on the ground.,Scherger IDC gate 3,
1-59TL71,Use of Observation Rm > 24 hrs,Major,2/12/10,Villawood IDC,Client s. 47F(1) has been in the Murray unit for more than 24 Hrs.,Murray Unit VIDC,
1-59TLA4,Self Harm - Threatened,Major,2/12/10,North West Point Immigration Facility,Client  s. 47F(1) was informed on by other clients he was going to self harm,White 2 Dorm D1 North West Point,
1-5A4Y4X,Abusive/Aggressive Behaviour,Minor,2/12/10,Curtin IDC,Client threatened Serco officer in Delta compound,Delta compound office,
1-59T4ET,Self Harm - Threatened,Major,2/12/10,North West Point Immigration Facility,At app. 1700hrs it was reported that Client s. 47F(1) threatened self harm,Education3,
1-59R72P,Accident/Injury - Serious,Critical,2/12/10,Villawood IDC,Client s. 47F(1) escorted to Fairfield Hospital by Serco staff,Blaxland,
1-5A3KOZ,Accident/Injury - Serious,Critical,2/12/10,Northern IDC,Client approached DIAC staff complaining of Chest pain. Client had suspected heart attack earlier in the week.,Darwin Airport Lodge,
1-59QBFY,Assault - Minor,Minor,2/12/10,Villawood IDC,Client s. 47F(1) was assaulted by client s. 47F(1),Blaxland - Basketball area outside Dorm 2,
1-59QBSA  ,Accident/Injury - Serious,Critical,2/12/10,Curtin IDC,Upon recieving an RFS from IHMS  client escorted of site to Curtin Hospital,CURTIN IDC,
1-59SAIE,Contraband found,Minor,2/12/10,North West Point Immigration Facility,Client s. 47F(1) as found in possession of razor blades,Outside precincts of North West Point Medical Centre,
1-59RS12,Self Harm - Threatened,Major,2/12/10,North West Point Immigration Facility,"s. 47F(1)  THREATENED ITH A SLASHING MOTION, TO THE OFFICER. HIS COMPLAINT WAS THAT OTHER CLIENTS WERE TOO NOISY",WHITE 2 COMPOUND NWP,
1-59MY1X,Use of Force,Major,2/12/10,Villawood IDC,Client s. 47F(1) had minimum use of force used on her to escort her into vehicle.,Reception Airlock- Hughes,
1-59MF1M  ,Use of Force,Major,2/12/10,Villawood IDC,Client s. 47F(1) had minimum force used on him to escort the client into the vehicle,Reception Airlock - Hughes,
1-59MYGS ,Accident/Injury - Serious,Critical,2/12/10,Villawood IDC,Client s. 47F(1) was escorted to Liverpool Hospital complaining of Chest Pain via ambulance.,Hughes Compound - Medical Centre.,
1-59L4KL,Damage - Minor,Minor,2/12/10,Villawood IDC,"Dorm 2, Room R1 door handle is missing.","Villawood IDC, Blaxland compound, Dorm 2.",
1-59L4VO,Accident/Injury - Serious,Critical,2/12/10,Villawood IDC,"Clien s. 47F(1) was transfered to Bankstown hospital at 0520hrs ,complaning of chest paine .",Fowler,
1-59FHBW ,Accident/Injury - Serious,Critical,2/12/10,Curtin IDC,Client s. 47F(1) did present at the medical centre and requested medical treatment as he had scalded his right forearm while making tea in delta compound.,kitchen in delta,
1-59EH5O,Media - Unauthorised presence,Critical,1/12/10,Villawood IDC,Media onsite at VIDC Birmingham Rd entry,Birmingham Rd VIDC,
1-59EXFT,Accident/Injury - Serious,Critical,1/12/10,Villawood IDC,Fowler client s. 47F(1) was taken offsite for a Medical condition via Ambulance to Auburn hospital,Fowler VIDC,
1-59KTUQ  ,Voluntary  Starvation - End of,Minor,1/12/10,Northern IDC,End of voluntary starvation,South 1,
1-59EXUI,Disturbance - Minor,Minor,1/12/10,Northern IDC,Mains water interupted.,Asti Motel,
1-59E2EU,Contraband found,Minor,1/12/10,North West Point Immigration Facility,"Targetted room search conducted on client s. 47F(1) ue to aggressive/abusive behaviour, one large pair scissors, 3ml syringe in packet.",D Block Room 6,
1-59DI6W,Accident/Injury - Serious,Critical,1/12/10,Northern IDC,Client has stomach pains GP on site has referred her to RDH for further assessment. Client also has a fever.,Darwin Airport Lodge,
1-59D0PM  ,Contraband found,Minor,1/12/10,Scherger IDC,while conducted route searching in Alpha Block a $50 Aus was located in a clients room.,Client lives in Alpha Block 504-01. Wallet was located inside the clients locker.,
1-59O0TH,Transfer to APOD,Minor,1/12/10,Perth IDC,Client s. 47F(1) transferred to fremantle Hospital,Fremantle Hospital Ward F6 Room2,
1-59DU9O  ,Abusive/Aggressive Behaviour,Minor,1/12/10,North West Point Immigration Facility,"Client abusive to staff member, refused to show his ID and then refused to state his boat number and refused to stand in queue.",Aqua Compound D block.,
1-59D0M0,Assault - Minor,Minor,1/12/10,Northern IDC,Client from ASTI assulted Client from DAL.,Darwin Airport Lodge Sanderson Secondary School,
1-59DU3V,Contraband found,Minor,1/12/10,North West Point Immigration Facility,Extendable knife approximately 215mm located  on building site in compound Aqua,"Aqua Compound, back of kitchen.",
1-59FGV8,Voluntary  Starvation - End of,Minor,1/12/10,Scherger IDC,Client s. 47F(1) had a meal at 1245 hrs on the 1st of December 2010 ending s. 47F(1) period without eating regular meals s. 47F(1) gain told Serco officers that not eating is a normal thing for him.,Scherger IDC,
1-599OTP,Abusive/Aggressive Behaviour,Minor,1/12/10,Villawood IDC,Client s. 47F(1) threatning to start stabbing & wants immigration to send him back home.,"Blaxland, Villawood IDC.",
1-59DHW8,Failure - IT Systems,Minor,1/12/10,Curtin IDC,Complete power failure at Curtin IDC,Curtin IDC,
1-5BW33W,Assault - Minor,Minor,1/12/10,Northern IDC,Client assulted another Client at Sanderson School. IR Closed,Darwin Aiport Lodge,
1-599A18,Use of Restraints,Minor,1/12/10,Perth IDC,Use return of restraint on client s. 47F(1) while on escort from perth IDC to Perth Magistrates Court and return to Perth IDC,Perth IDC,
1-5957BX,Use of Observation Rm > 24 hrs,Major,1/12/10,Villawood IDC,Clients s. 47F(1) have occupied the Murray unit for over 24 hours,Murray unit adjcent to Fowler compound.,
1-595L4U,Self Harm - Actual,Critical,1/12/10,North West Point Immigration Facility,Client s. 47F(1) self harmed by cutting his left wrist,"Activities room 1, White 2 compound.",
1-5960Q8,Abusive/Aggressive Behaviour,Minor,1/12/10,North West Point Immigration Facility,Client s. 47F(1) became abusive and aggressive towards staff when asked to return to Green 2 compound.,White 2 compound common area.,
1-58YVWE ,Voluntary starvation (>24 hrs),Major,30/11/10,Scherger IDC,"Client s. 47F(1) has not had a meal for over 24 hrs. He stated he is not on VS, and is not making a protest. He also stated that he is just not hungry and it is normal for him to miss meals.",Scherger IDC,
1-58YW4Y  ,Accident/Injury - Serious,Critical,30/11/10,Northern IDC,Client s. 47F(1) escorted to Royal Darwin hospital as advised by TRIAGE on 31/11/10 at about 7.25pm.,ASTI APOD.,
1-58YW0K  ,Damage - Minor,Minor,30/11/10,Northern IDC,"Client s. 47F(1) was hysterical and damaged ASTI Motel items i.e electri kettle,plates and cups on 30/11/10 at about 7.00pm.",ASTI APOD.,
1-58XZNI,Failure - IT Systems,Minor,30/11/10,Port Augusta IRH,"Main Security Gate is no longer opperrating Flinders Solutions attended at 1930hrs, saying they could not be repaired tonight due to parts not being available and will retun in the morning.",PAIRH Front Gate,
1-58YW3K  ,Accident/Injury - Serious,Critical,30/11/10,Brisbane ITA,Client tripped on bathroom floor and hit head on bathroom doorjam causing minor wound to forehead,Virginia Palms Motel APOD,
1-58YW5L,Notification by Welfare Auth,Major,30/11/10,Brisbane ITA,Smoke detectors  activated Fire Alarm system which automatically notifies local Fire Service who attends site,BITA Kitchen,
1-58YVU2,Accident/Injury - Serious,Critical,30/11/10,Brisbane ITA,Client found lying in bathroom of accommodation unit apparently unconscious and frothing at the mouth.,"Room D2, BITA",
1-58VFXC,Accident/Injury - Serious,Critical,30/11/10,Maribyrnong IDC,Client s. 47F(1) taken to Western General Hospital for medical analysis regarding a previous medical condition to clients heart.,Western General Hospital,
1-58ZQ3W ,Assault - Minor,Major,30/11/10,North West Point Immigration Facility,"Code Black called in White 2 compound, clients fighting s. 47F(1) s. 47F(1)  attemted to separate the two clients.","White 2 compound, grassed area",
1-58UG76,Use of Force,Major,30/11/10,Melbourne ITA  ,CSM John Osborne and OPs Manager Adam Maxwell used minimal force on Client s. 47F(1) to remove a chair leg the client was using to smash windows,Diamond Block upstairs common area,
1-58UG4H  ,Damage - Minor,Minor,30/11/10,Melbourne ITA ,Client s. 47F(1) using a chair leg smashed several windows in the upstairs accommodation of Diamond block out of frustration against being in detention,Diamond Block Upstairs common room,
1-58YVQ6,Voluntary starvation (>24 hrs),Major,30/11/10,Perth IDC,Client has not been observed consuming food or liquids over 24hours since stating he was on voluntary starvation as per IR 1- 58GDTI,PIDC,
1-58RRAB  ,Accident/Injury - Serious,Critical,30/11/10,Villawood IDC,Client s. 47F(1) admitted to Bankstown Hospital at approximately 1600hrs on 30th November 2010.,Hughes Compound Villawood IDC,
1-58TTVC,Complaint - re Minor Incident,Minor,30/11/10,Northern IDC,Complaints not resolved within timeframe.,NIDC,
1-59577P,Assault - Minor,Major,30/11/10,North West Point Immigration Facility,Code black was called at approximately 13.20Hrs a number of clients fighting in tent four marquee,"Marquee, tent four",
1-58UGH1  ,Voluntary  Starvation - End of,Minor,30/11/10,North West Point Immigration Facility,"Client s. 47F(1) as been sighted having milk, tea and eating Serco supplied desserts. No longer declared on VHS",Gold 11,
1-58RR2W,Abusive/Aggressive Behaviour,Minor,30/11/10,Maribyrnong IDC,Clients. 47F(1) throwing food,Programs and Activities Hub,
1-58RQLA,Voluntary  Starvation - End of,Minor,30/11/10,North West Point Immigration Facility,Client s. 47F(1) as been attending the servery for regular meals. No longer declared on VHS.,Gold 1,
1-58OWE6 ,Accident/Injury - Serious,Critical,30/11/10,Northern IDC,Client presented to IHMS with numbness / breathing problems.,Darwin Airport Lodge,
1-58OCER,Contraband found,Minor,30/11/10,Villawood IDC,Room clearances were conducted and prohibited articles were confiscated.,Blaxland,
1-58OC7D  ,Assault - Not OBH,Minor,30/11/10,Villawood IDC,Client s. 47F(1) involved in altercation in IC/Mess Hughes compound.,"IC/Mess Hughes Compound, Villawood IDC",
1-5960HM,Accident/Injury - Serious,Critical,30/11/10,Northern IDC,Client fainted and hit head on walkway.,Darwin Airport Lodge,
1-595LN7,Accident/Injury - Serious,Critical,30/11/10,Northern IDC,Client in Room 82 of A block vomiting. Delay on portal update due to limited access.,Darwin Airport Lodge,
1-58MLGU ,Damage - Serious,Critical,30/11/10,Villawood IDC,Cage area of Dorm 1 Blaxland has been tampered with Rear section has 3 bolts left and the Right hand side has also been tampered with,Blaxland Dorm 1 Cage area,
1-58MLQ5,Self Harm - Actual,Critical,30/11/10,North West Point Immigration Facility,"Client s. 47F(1) cut his left wrist, medical, delta 1 william and delta 2 sleep attended.",Activities 1 room in Blue 1 compound,
1-58HDP5,Use of Restraints,Minor,29/11/10,Villawood IDC,Client s. 47F(1) was spoken to over setting off the fire alarm in his room - Dorm 3 room T7 by Serco Centre Manager Mr Shaun MAXWELL,Restraints were fitted to Client by Serco Centre Manager Mr Shaun MAXWELL in hallway opposite dinning room of Blaxland,
1-58H101,Notification by Welfare Auth,Major,29/11/10,Villawood IDC,Fire Alarms activated from Dorm 3 Blaxland room T7 & T8  Clients residing in room smoking and setting off alarms are Client s. 47F(1),Dorm 3 Room T7 & T8,
